Level_Type,Area_Type,Area_Name,Borough,Month,Median_Rent
Aggregation,borough,All Bronx,Bronx,2010-05,1600
Detail,neighborhood,Baychester,Bronx,2010-05,
Detail,neighborhood,Bedford Park,Bronx,2010-05,
Detail,neighborhood,Belmont,Bronx,2010-05,
Detail,neighborhood,Bronxwood,Bronx,2010-05,
Detail,neighborhood,Castle Hill,Bronx,2010-05,
Detail,neighborhood,City Island,Bronx,2010-05,
Detail,neighborhood,Co-op City,Bronx,2010-05,
Detail,neighborhood,Concourse,Bronx,2010-05,
Detail,neighborhood,Country Club,Bronx,2010-05,
Detail,neighborhood,Crotona Park East,Bronx,2010-05,
Detail,neighborhood,East Tremont,Bronx,2010-05,
Detail,neighborhood,Eastchester,Bronx,2010-05,
Detail,neighborhood,Edenwald,Bronx,2010-05,
Detail,neighborhood,Fordham,Bronx,2010-05,
Detail,neighborhood,Highbridge,Bronx,2010-05,
Detail,neighborhood,Hunts Point,Bronx,2010-05,
Detail,neighborhood,Kingsbridge,Bronx,2010-05,1200
Detail,neighborhood,Laconia,Bronx,2010-05,
Detail,neighborhood,Longwood,Bronx,2010-05,
Detail,neighborhood,Melrose,Bronx,2010-05,
Detail,neighborhood,Morris Heights,Bronx,2010-05,
Detail,neighborhood,Morris Park,Bronx,2010-05,
Detail,neighborhood,Morrisania,Bronx,2010-05,
Detail,neighborhood,Mott Haven,Bronx,2010-05,1600
Detail,neighborhood,Norwood,Bronx,2010-05,
Detail,neighborhood,Parkchester,Bronx,2010-05,
Detail,neighborhood,Pelham Bay,Bronx,2010-05,
Detail,neighborhood,Pelham Gardens,Bronx,2010-05,
Detail,neighborhood,Pelham Parkway,Bronx,2010-05,
Detail,neighborhood,Port Morris,Bronx,2010-05,
Detail,neighborhood,Riverdale,Bronx,2010-05,1900
Detail,neighborhood,Schuylerville,Bronx,2010-05,
Detail,neighborhood,Soundview,Bronx,2010-05,
Detail,neighborhood,Throgs Neck,Bronx,2010-05,
Detail,neighborhood,Tremont,Bronx,2010-05,
Detail,neighborhood,University Heights,Bronx,2010-05,
Detail,neighborhood,Van Nest,Bronx,2010-05,
Detail,neighborhood,Wakefield,Bronx,2010-05,
Detail,neighborhood,Westchester Village,Bronx,2010-05,
Detail,neighborhood,Williamsbridge,Bronx,2010-05,
Detail,neighborhood,Woodlawn,Bronx,2010-05,
Detail,neighborhood,Woodstock,Bronx,2010-05,
Aggregation,borough,All Bronx,Bronx,2010-06,1500
Detail,neighborhood,Baychester,Bronx,2010-06,
Detail,neighborhood,Bedford Park,Bronx,2010-06,
Detail,neighborhood,Belmont,Bronx,2010-06,
Detail,neighborhood,Bronxwood,Bronx,2010-06,
Detail,neighborhood,Castle Hill,Bronx,2010-06,
Detail,neighborhood,City Island,Bronx,2010-06,
Detail,neighborhood,Co-op City,Bronx,2010-06,
Detail,neighborhood,Concourse,Bronx,2010-06,
Detail,neighborhood,Country Club,Bronx,2010-06,
Detail,neighborhood,Crotona Park East,Bronx,2010-06,
Detail,neighborhood,East Tremont,Bronx,2010-06,
Detail,neighborhood,Eastchester,Bronx,2010-06,
Detail,neighborhood,Edenwald,Bronx,2010-06,
Detail,neighborhood,Fordham,Bronx,2010-06,
Detail,neighborhood,Highbridge,Bronx,2010-06,
Detail,neighborhood,Hunts Point,Bronx,2010-06,
Detail,neighborhood,Kingsbridge,Bronx,2010-06,1200
Detail,neighborhood,Laconia,Bronx,2010-06,
Detail,neighborhood,Longwood,Bronx,2010-06,
Detail,neighborhood,Melrose,Bronx,2010-06,
Detail,neighborhood,Morris Heights,Bronx,2010-06,
Detail,neighborhood,Morris Park,Bronx,2010-06,
Detail,neighborhood,Morrisania,Bronx,2010-06,
Detail,neighborhood,Mott Haven,Bronx,2010-06,
Detail,neighborhood,Norwood,Bronx,2010-06,
Detail,neighborhood,Parkchester,Bronx,2010-06,
Detail,neighborhood,Pelham Bay,Bronx,2010-06,
Detail,neighborhood,Pelham Gardens,Bronx,2010-06,
Detail,neighborhood,Pelham Parkway,Bronx,2010-06,
Detail,neighborhood,Port Morris,Bronx,2010-06,
Detail,neighborhood,Riverdale,Bronx,2010-06,2000
Detail,neighborhood,Schuylerville,Bronx,2010-06,
Detail,neighborhood,Soundview,Bronx,2010-06,
Detail,neighborhood,Throgs Neck,Bronx,2010-06,
Detail,neighborhood,Tremont,Bronx,2010-06,
Detail,neighborhood,University Heights,Bronx,2010-06,
Detail,neighborhood,Van Nest,Bronx,2010-06,
Detail,neighborhood,Wakefield,Bronx,2010-06,
Detail,neighborhood,Westchester Village,Bronx,2010-06,
Detail,neighborhood,Williamsbridge,Bronx,2010-06,
Detail,neighborhood,Woodlawn,Bronx,2010-06,
Detail,neighborhood,Woodstock,Bronx,2010-06,
Aggregation,borough,All Bronx,Bronx,2010-07,1529
Detail,neighborhood,Baychester,Bronx,2010-07,
Detail,neighborhood,Bedford Park,Bronx,2010-07,
Detail,neighborhood,Belmont,Bronx,2010-07,
Detail,neighborhood,Bronxwood,Bronx,2010-07,
Detail,neighborhood,Castle Hill,Bronx,2010-07,
Detail,neighborhood,City Island,Bronx,2010-07,
Detail,neighborhood,Co-op City,Bronx,2010-07,
Detail,neighborhood,Concourse,Bronx,2010-07,
Detail,neighborhood,Country Club,Bronx,2010-07,
Detail,neighborhood,Crotona Park East,Bronx,2010-07,
Detail,neighborhood,East Tremont,Bronx,2010-07,
Detail,neighborhood,Eastchester,Bronx,2010-07,
Detail,neighborhood,Edenwald,Bronx,2010-07,
Detail,neighborhood,Fordham,Bronx,2010-07,
Detail,neighborhood,Highbridge,Bronx,2010-07,
Detail,neighborhood,Hunts Point,Bronx,2010-07,
Detail,neighborhood,Kingsbridge,Bronx,2010-07,
Detail,neighborhood,Laconia,Bronx,2010-07,
Detail,neighborhood,Longwood,Bronx,2010-07,
Detail,neighborhood,Melrose,Bronx,2010-07,
Detail,neighborhood,Morris Heights,Bronx,2010-07,
Detail,neighborhood,Morris Park,Bronx,2010-07,
Detail,neighborhood,Morrisania,Bronx,2010-07,
Detail,neighborhood,Mott Haven,Bronx,2010-07,
Detail,neighborhood,Norwood,Bronx,2010-07,
Detail,neighborhood,Parkchester,Bronx,2010-07,
Detail,neighborhood,Pelham Bay,Bronx,2010-07,
Detail,neighborhood,Pelham Gardens,Bronx,2010-07,
Detail,neighborhood,Pelham Parkway,Bronx,2010-07,
Detail,neighborhood,Port Morris,Bronx,2010-07,
Detail,neighborhood,Riverdale,Bronx,2010-07,2200
Detail,neighborhood,Schuylerville,Bronx,2010-07,
Detail,neighborhood,Soundview,Bronx,2010-07,
Detail,neighborhood,Throgs Neck,Bronx,2010-07,
Detail,neighborhood,Tremont,Bronx,2010-07,
Detail,neighborhood,University Heights,Bronx,2010-07,
Detail,neighborhood,Van Nest,Bronx,2010-07,
Detail,neighborhood,Wakefield,Bronx,2010-07,
Detail,neighborhood,Westchester Village,Bronx,2010-07,
Detail,neighborhood,Williamsbridge,Bronx,2010-07,
Detail,neighborhood,Woodlawn,Bronx,2010-07,
Detail,neighborhood,Woodstock,Bronx,2010-07,
Aggregation,borough,All Bronx,Bronx,2010-08,1600
Detail,neighborhood,Baychester,Bronx,2010-08,
Detail,neighborhood,Bedford Park,Bronx,2010-08,
Detail,neighborhood,Belmont,Bronx,2010-08,
Detail,neighborhood,Bronxwood,Bronx,2010-08,
Detail,neighborhood,Castle Hill,Bronx,2010-08,
Detail,neighborhood,City Island,Bronx,2010-08,
Detail,neighborhood,Co-op City,Bronx,2010-08,
Detail,neighborhood,Concourse,Bronx,2010-08,
Detail,neighborhood,Country Club,Bronx,2010-08,
Detail,neighborhood,Crotona Park East,Bronx,2010-08,
Detail,neighborhood,East Tremont,Bronx,2010-08,
Detail,neighborhood,Eastchester,Bronx,2010-08,
Detail,neighborhood,Edenwald,Bronx,2010-08,
Detail,neighborhood,Fordham,Bronx,2010-08,
Detail,neighborhood,Highbridge,Bronx,2010-08,
Detail,neighborhood,Hunts Point,Bronx,2010-08,
Detail,neighborhood,Kingsbridge,Bronx,2010-08,
Detail,neighborhood,Laconia,Bronx,2010-08,
Detail,neighborhood,Longwood,Bronx,2010-08,
Detail,neighborhood,Melrose,Bronx,2010-08,
Detail,neighborhood,Morris Heights,Bronx,2010-08,
Detail,neighborhood,Morris Park,Bronx,2010-08,
Detail,neighborhood,Morrisania,Bronx,2010-08,
Detail,neighborhood,Mott Haven,Bronx,2010-08,
Detail,neighborhood,Norwood,Bronx,2010-08,
Detail,neighborhood,Parkchester,Bronx,2010-08,
Detail,neighborhood,Pelham Bay,Bronx,2010-08,
Detail,neighborhood,Pelham Gardens,Bronx,2010-08,
Detail,neighborhood,Pelham Parkway,Bronx,2010-08,
Detail,neighborhood,Port Morris,Bronx,2010-08,
Detail,neighborhood,Riverdale,Bronx,2010-08,2525
Detail,neighborhood,Schuylerville,Bronx,2010-08,
Detail,neighborhood,Soundview,Bronx,2010-08,
Detail,neighborhood,Throgs Neck,Bronx,2010-08,
Detail,neighborhood,Tremont,Bronx,2010-08,
Detail,neighborhood,University Heights,Bronx,2010-08,
Detail,neighborhood,Van Nest,Bronx,2010-08,
Detail,neighborhood,Wakefield,Bronx,2010-08,
Detail,neighborhood,Westchester Village,Bronx,2010-08,
Detail,neighborhood,Williamsbridge,Bronx,2010-08,
Detail,neighborhood,Woodlawn,Bronx,2010-08,
Detail,neighborhood,Woodstock,Bronx,2010-08,
Aggregation,borough,All Bronx,Bronx,2010-09,1600
Detail,neighborhood,Baychester,Bronx,2010-09,
Detail,neighborhood,Bedford Park,Bronx,2010-09,
Detail,neighborhood,Belmont,Bronx,2010-09,
Detail,neighborhood,Bronxwood,Bronx,2010-09,
Detail,neighborhood,Castle Hill,Bronx,2010-09,
Detail,neighborhood,City Island,Bronx,2010-09,
Detail,neighborhood,Co-op City,Bronx,2010-09,
Detail,neighborhood,Concourse,Bronx,2010-09,
Detail,neighborhood,Country Club,Bronx,2010-09,
Detail,neighborhood,Crotona Park East,Bronx,2010-09,
Detail,neighborhood,East Tremont,Bronx,2010-09,
Detail,neighborhood,Eastchester,Bronx,2010-09,
Detail,neighborhood,Edenwald,Bronx,2010-09,
Detail,neighborhood,Fordham,Bronx,2010-09,
Detail,neighborhood,Highbridge,Bronx,2010-09,
Detail,neighborhood,Hunts Point,Bronx,2010-09,
Detail,neighborhood,Kingsbridge,Bronx,2010-09,
Detail,neighborhood,Laconia,Bronx,2010-09,
Detail,neighborhood,Longwood,Bronx,2010-09,
Detail,neighborhood,Melrose,Bronx,2010-09,
Detail,neighborhood,Morris Heights,Bronx,2010-09,
Detail,neighborhood,Morris Park,Bronx,2010-09,
Detail,neighborhood,Morrisania,Bronx,2010-09,
Detail,neighborhood,Mott Haven,Bronx,2010-09,
Detail,neighborhood,Norwood,Bronx,2010-09,
Detail,neighborhood,Parkchester,Bronx,2010-09,
Detail,neighborhood,Pelham Bay,Bronx,2010-09,
Detail,neighborhood,Pelham Gardens,Bronx,2010-09,
Detail,neighborhood,Pelham Parkway,Bronx,2010-09,
Detail,neighborhood,Port Morris,Bronx,2010-09,
Detail,neighborhood,Riverdale,Bronx,2010-09,2200
Detail,neighborhood,Schuylerville,Bronx,2010-09,
Detail,neighborhood,Soundview,Bronx,2010-09,
Detail,neighborhood,Throgs Neck,Bronx,2010-09,
Detail,neighborhood,Tremont,Bronx,2010-09,
Detail,neighborhood,University Heights,Bronx,2010-09,
Detail,neighborhood,Van Nest,Bronx,2010-09,
Detail,neighborhood,Wakefield,Bronx,2010-09,
Detail,neighborhood,Westchester Village,Bronx,2010-09,
Detail,neighborhood,Williamsbridge,Bronx,2010-09,
Detail,neighborhood,Woodlawn,Bronx,2010-09,
Detail,neighborhood,Woodstock,Bronx,2010-09,
Aggregation,borough,All Bronx,Bronx,2010-10,1500
Detail,neighborhood,Baychester,Bronx,2010-10,
Detail,neighborhood,Bedford Park,Bronx,2010-10,
Detail,neighborhood,Belmont,Bronx,2010-10,
Detail,neighborhood,Bronxwood,Bronx,2010-10,
